customer_id,age_group,city,occupation,gender,marital status,avg_income,month_avg_spend ,avg_income_utilization_monthly
ATQCUS0043,21-24,Delhi NCR,Salaried IT Employees,Male,Married,45573,26147,57.37%
ATQCUS0044,21-24,Delhi NCR,Salaried IT Employees,Male,Married,50557,25953,51.33%
ATQCUS0045,21-24,Delhi NCR,Salaried IT Employees,Male,Married,51033,24557,48.12%
ATQCUS0046,21-24,Delhi NCR,Salaried IT Employees,Male,Married,47945,24453,51.00%
ATQCUS0047,21-24,Delhi NCR,Salaried IT Employees,Male,Married,47053,25333,53.84%
ATQCUS0048,21-24,Delhi NCR,Salaried IT Employees,Male,Married,47406,25217,53.19%
ATQCUS0049,21-24,Delhi NCR,Salaried Other Employees,Male,Married,30364,13932,45.88%
ATQCUS0050,21-24,Delhi NCR,Salaried Other Employees,Male,Married,31771,15706,49.44%
ATQCUS0051,21-24,Delhi NCR,Salaried Other Employees,Male,Married,28169,13759,48.84%
ATQCUS0052,21-24,Delhi NCR,Business Owners,Male,Married,56133,17873,31.84%
ATQCUS0053,21-24,Delhi NCR,Business Owners,Male,Married,53186,18223,34.26%
ATQCUS0054,21-24,Delhi NCR,Business Owners,Male,Married,53064,16176,30.48%
ATQCUS0055,21-24,Delhi NCR,Business Owners,Male,Married,51203,15731,30.72%
ATQCUS0056,21-24,Delhi NCR,Business Owners,Male,Married,52570,17044,32.42%
ATQCUS0057,21-24,Delhi NCR,Freelancers,Male,Married,25614,11924,46.55%
ATQCUS0058,21-24,Delhi NCR,Freelancers,Male,Married,26415,12551,47.51%
ATQCUS0059,21-24,Delhi NCR,Freelancers,Male,Married,25583,11354,44.38%
ATQCUS0060,21-24,Delhi NCR,Government Employees,Male,Married,39705,11847,29.84%
ATQCUS0061,21-24,Delhi NCR,Government Employees,Male,Married,42142,12939,30.70%
ATQCUS0062,21-24,Delhi NCR,Government Employees,Male,Married,38866,11822,30.42%
ATQCUS0063,21-24,Bengaluru,Salaried IT Employees,Male,Married,47988,25206,52.53%
ATQCUS0064,21-24,Bengaluru,Salaried IT Employees,Male,Married,48173,24468,50.79%
ATQCUS0065,21-24,Bengaluru,Salaried IT Employees,Male,Married,48698,24810,50.95%
ATQCUS0066,21-24,Bengaluru,Salaried IT Employees,Male,Married,47732,23308,48.83%
ATQCUS0067,21-24,Bengaluru,Salaried IT Employees,Male,Married,48165,24470,50.81%
ATQCUS0068,21-24,Bengaluru,Salaried IT Employees,Male,Married,49228,26139,53.10%
ATQCUS0069,21-24,Bengaluru,Salaried IT Employees,Male,Married,46756,22418,47.95%
ATQCUS0070,21-24,Bengaluru,Salaried Other Employees,Male,Married,29945,11992,40.05%
ATQCUS0071,21-24,Bengaluru,Salaried Other Employees,Male,Married,29797,12593,42.26%
ATQCUS0072,21-24,Bengaluru,Salaried Other Employees,Male,Married,32159,12643,39.31%
ATQCUS0073,21-24,Bengaluru,Salaried Other Employees,Male,Married,30173,12098,40.09%
ATQCUS0074,21-24,Bengaluru,Business Owners,Male,Married,56272,19318,34.33%
ATQCUS0075,21-24,Bengaluru,Business Owners,Male,Married,49549,17109,34.53%
ATQCUS0076,21-24,Bengaluru,Business Owners,Male,Married,52745,17774,33.70%
ATQCUS0077,21-24,Bengaluru,Business Owners,Male,Married,57469,17139,29.82%
ATQCUS0078,21-24,Bengaluru,Freelancers,Male,Married,26296,11457,43.57%
ATQCUS0079,21-24,Bengaluru,Freelancers,Male,Married,28630,12871,44.96%
ATQCUS0080,21-24,Bengaluru,Freelancers,Male,Married,26939,11849,43.98%
ATQCUS0081,21-24,Bengaluru,Freelancers,Male,Married,26626,12119,45.52%
ATQCUS0082,21-24,Bengaluru,Freelancers,Male,Married,25301,11597,45.84%
ATQCUS0083,21-24,Bengaluru,Freelancers,Male,Married,28776,11696,40.64%
ATQCUS0084,21-24,Bengaluru,Freelancers,Male,Married,27110,11676,43.07%
ATQCUS0085,21-24,Bengaluru,Government Employees,Male,Married,41857,11565,27.63%
ATQCUS0086,21-24,Bengaluru,Government Employees,Male,Married,42092,13233,31.44%
ATQCUS0087,21-24,Chennai,Salaried IT Employees,Male,Married,49918,19592,39.25%
ATQCUS0088,21-24,Chennai,Salaried IT Employees,Male,Married,46705,16307,34.92%
ATQCUS0089,21-24,Chennai,Salaried IT Employees,Male,Married,48116,17483,36.33%
ATQCUS0090,21-24,Chennai,Salaried IT Employees,Male,Married,45218,17083,37.78%
ATQCUS0091,21-24,Chennai,Salaried IT Employees,Male,Married,49735,17649,35.49%
ATQCUS0092,21-24,Chennai,Salaried IT Employees,Male,Married,46704,15960,34.17%
ATQCUS0093,21-24,Chennai,Salaried Other Employees,Male,Married,29431,8661,29.43%
ATQCUS0094,21-24,Chennai,Salaried Other Employees,Male,Married,31053,9043,29.12%
ATQCUS0095,21-24,Chennai,Salaried Other Employees,Male,Married,29244,8430,28.82%
ATQCUS0096,21-24,Chennai,Salaried Other Employees,Male,Married,30586,8384,27.41%
ATQCUS0097,21-24,Chennai,Salaried Other Employees,Male,Married,30755,8650,28.13%
ATQCUS0098,21-24,Chennai,Salaried Other Employees,Male,Married,29030,8239,28.38%
ATQCUS0099,21-24,Chennai,Business Owners,Male,Married,52836,12988,24.58%
ATQCUS0100,21-24,Chennai,Business Owners,Male,Married,57354,13252,23.11%
ATQCUS0101,21-24,Chennai,Business Owners,Male,Married,52959,11437,21.60%
ATQCUS0102,21-24,Chennai,Freelancers,Male,Married,25159,7794,30.98%
ATQCUS0103,21-24,Chennai,Freelancers,Male,Married,26433,8154,30.85%
ATQCUS0104,21-24,Chennai,Freelancers,Male,Married,27352,8514,31.13%
ATQCUS0105,21-24,Chennai,Government Employees,Male,Married,39399,7742,19.65%
ATQCUS0106,21-24,Chennai,Government Employees,Male,Married,40506,8924,22.03%
ATQCUS0107,21-24,Chennai,Government Employees,Male,Married,39116,7856,20.08%
ATQCUS0108,21-24,Hyderabad,Salaried IT Employees,Male,Married,45933,17591,38.30%
ATQCUS0109,21-24,Hyderabad,Salaried IT Employees,Male,Married,46461,17160,36.93%
ATQCUS0110,21-24,Hyderabad,Salaried IT Employees,Male,Married,46876,19645,41.91%
ATQCUS0111,21-24,Hyderabad,Salaried IT Employees,Male,Married,46753,20325,43.47%
ATQCUS0112,21-24,Hyderabad,Salaried IT Employees,Male,Married,46437,16214,34.92%
ATQCUS0113,21-24,Hyderabad,Salaried Other Employees,Male,Married,28672,9387,32.74%
ATQCUS0114,21-24,Hyderabad,Salaried Other Employees,Male,Married,28658,9219,32.17%
ATQCUS0115,21-24,Hyderabad,Salaried Other Employees,Male,Married,31009,10755,34.68%
ATQCUS0116,21-24,Hyderabad,Business Owners,Male,Married,51906,13132,25.30%
ATQCUS0117,21-24,Hyderabad,Business Owners,Male,Married,56388,14625,25.94%
ATQCUS0118,21-24,Hyderabad,Business Owners,Male,Married,57105,14286,25.02%
ATQCUS0119,21-24,Hyderabad,Freelancers,Male,Married,28931,11042,38.17%
ATQCUS0120,21-24,Hyderabad,Freelancers,Male,Married,26787,9826,36.68%
ATQCUS0121,21-24,Hyderabad,Freelancers,Male,Married,26642,9704,36.42%
ATQCUS0122,21-24,Hyderabad,Government Employees,Male,Married,39310,8993,22.88%
ATQCUS0123,21-24,Hyderabad,Government Employees,Male,Married,39453,9598,24.33%
ATQCUS0124,25-34,Mumbai,Salaried IT Employees,Male,Married,60010,43062,71.76%
ATQCUS0125,25-34,Mumbai,Salaried IT Employees,Male,Married,62076,44985,72.47%
ATQCUS0126,25-34,Mumbai,Salaried IT Employees,Male,Married,61715,45686,74.03%
ATQCUS0127,25-34,Mumbai,Salaried IT Employees,Male,Married,61386,43005,70.06%
ATQCUS0128,25-34,Mumbai,Salaried IT Employees,Male,Married,64788,48614,75.04%
ATQCUS0129,25-34,Mumbai,Salaried IT Employees,Male,Married,62599,42925,68.57%
ATQCUS0130,25-34,Mumbai,Salaried IT Employees,Male,Married,59015,40741,69.04%
ATQCUS0131,25-34,Mumbai,Salaried IT Employees,Male,Married,59519,40622,68.25%
ATQCUS0132,25-34,Mumbai,Salaried IT Employees,Male,Married,60601,42287,69.78%
ATQCUS0133,25-34,Mumbai,Salaried IT Employees,Male,Married,63550,45148,71.04%
ATQCUS0134,25-34,Mumbai,Salaried IT Employees,Male,Married,60422,41568,68.80%
ATQCUS0135,25-34,Mumbai,Salaried IT Employees,Male,Married,63042,46593,73.91%
ATQCUS0136,25-34,Mumbai,Salaried IT Employees,Male,Married,64965,45768,70.45%
ATQCUS0137,25-34,Mumbai,Salaried IT Employees,Male,Married,62476,45858,73.40%
ATQCUS0138,25-34,Mumbai,Salaried IT Employees,Male,Married,65129,44162,67.81%
ATQCUS0139,25-34,Mumbai,Salaried IT Employees,Male,Married,63168,37843,59.91%
ATQCUS0140,25-34,Mumbai,Salaried IT Employees,Male,Married,63309,44148,69.73%
ATQCUS0141,25-34,Mumbai,Salaried IT Employees,Male,Married,59185,39706,67.09%
ATQCUS0142,25-34,Mumbai,Salaried IT Employees,Male,Married,60592,43997,72.61%
ATQCUS0143,25-34,Mumbai,Salaried IT Employees,Male,Married,64916,45816,70.58%
ATQCUS0144,25-34,Mumbai,Salaried IT Employees,Male,Married,59919,45188,75.42%
ATQCUS0145,25-34,Mumbai,Salaried IT Employees,Male,Married,62870,43573,69.31%
ATQCUS0146,25-34,Mumbai,Salaried IT Employees,Male,Married,62632,44578,71.17%
ATQCUS0147,25-34,Mumbai,Salaried IT Employees,Male,Married,61036,37760,61.87%
ATQCUS0148,25-34,Mumbai,Salaried IT Employees,Male,Married,63329,42970,67.85%
ATQCUS0149,25-34,Mumbai,Salaried IT Employees,Male,Married,60296,42650,70.73%
ATQCUS0150,25-34,Mumbai,Salaried IT Employees,Male,Married,62129,44365,71.41%
ATQCUS0151,25-34,Mumbai,Salaried IT Employees,Male,Married,65775,45399,69.02%
ATQCUS0152,25-34,Mumbai,Salaried IT Employees,Male,Married,62124,46308,74.54%
ATQCUS0153,25-34,Mumbai,Salaried IT Employees,Male,Married,64136,42892,66.88%
ATQCUS0154,25-34,Mumbai,Salaried IT Employees,Male,Married,61417,39961,65.06%
ATQCUS0155,25-34,Mumbai,Salaried IT Employees,Male,Married,61381,41755,68.03%
ATQCUS0156,25-34,Mumbai,Salaried IT Employees,Male,Married,63062,43167,68.45%
ATQCUS0157,25-34,Mumbai,Salaried IT Employees,Male,Married,60555,42555,70.28%
ATQCUS0158,25-34,Mumbai,Salaried IT Employees,Male,Married,62602,44690,71.39%
ATQCUS0159,25-34,Mumbai,Salaried IT Employees,Male,Married,60450,41603,68.82%
ATQCUS0160,25-34,Mumbai,Salaried IT Employees,Male,Married,63644,42360,66.56%
ATQCUS0161,25-34,Mumbai,Salaried IT Employees,Male,Married,61554,41642,67.65%
ATQCUS0162,25-34,Mumbai,Salaried IT Employees,Male,Married,59120,42332,71.60%
ATQCUS0163,25-34,Mumbai,Salaried IT Employees,Male,Married,58558,44662,76.27%
ATQCUS0164,25-34,Mumbai,Salaried IT Employees,Male,Married,63627,41748,65.61%
ATQCUS0165,25-34,Mumbai,Salaried IT Employees,Male,Married,61970,43067,69.50%
ATQCUS0166,25-34,Mumbai,Salaried IT Employees,Male,Married,58736,44364,75.53%
ATQCUS0167,25-34,Mumbai,Salaried IT Employees,Male,Married,58653,38016,64.81%
ATQCUS0168,25-34,Mumbai,Salaried IT Employees,Male,Married,62499,42541,68.07%
ATQCUS0169,25-34,Mumbai,Salaried IT Employees,Male,Married,61462,42884,69.77%
ATQCUS0170,25-34,Mumbai,Salaried IT Employees,Male,Married,63997,48189,75.30%
ATQCUS0171,25-34,Mumbai,Salaried IT Employees,Male,Married,63303,43173,68.20%
ATQCUS0172,25-34,Mumbai,Salaried IT Employees,Male,Married,62524,43823,70.09%
ATQCUS0173,25-34,Mumbai,Salaried Other Employees,Male,Married,38451,20809,54.12%
ATQCUS0174,25-34,Mumbai,Salaried Other Employees,Male,Married,40322,23681,58.73%
ATQCUS0175,25-34,Mumbai,Salaried Other Employees,Male,Married,39792,23003,57.81%
ATQCUS0176,25-34,Mumbai,Salaried Other Employees,Male,Married,35866,20194,56.30%
ATQCUS0177,25-34,Mumbai,Salaried Other Employees,Male,Married,40590,23884,58.84%
ATQCUS0178,25-34,Mumbai,Salaried Other Employees,Male,Married,39786,24460,61.48%
ATQCUS0179,25-34,Mumbai,Salaried Other Employees,Male,Married,40182,22584,56.20%
ATQCUS0180,25-34,Mumbai,Salaried Other Employees,Male,Married,37778,19766,52.32%
ATQCUS0181,25-34,Mumbai,Salaried Other Employees,Male,Married,36944,19060,51.59%
ATQCUS0182,25-34,Mumbai,Salaried Other Employees,Male,Married,36413,19512,53.59%
ATQCUS0183,25-34,Mumbai,Salaried Other Employees,Male,Married,38855,22639,58.26%
ATQCUS0184,25-34,Mumbai,Salaried Other Employees,Male,Married,40069,21391,53.39%
ATQCUS0185,25-34,Mumbai,Salaried Other Employees,Male,Married,38275,24145,63.08%
ATQCUS0186,25-34,Mumbai,Salaried Other Employees,Male,Married,40064,24096,60.14%
ATQCUS0187,25-34,Mumbai,Salaried Other Employees,Male,Married,39300,19551,49.75%
ATQCUS0188,25-34,Mumbai,Salaried Other Employees,Male,Married,37806,22084,58.41%
ATQCUS0189,25-34,Mumbai,Salaried Other Employees,Male,Married,39093,23159,59.24%
ATQCUS0190,25-34,Mumbai,Salaried Other Employees,Male,Married,40756,24026,58.95%
ATQCUS0191,25-34,Mumbai,Salaried Other Employees,Male,Married,40504,23926,59.07%
ATQCUS0192,25-34,Mumbai,Salaried Other Employees,Male,Married,37924,25102,66.19%
ATQCUS0193,25-34,Mumbai,Salaried Other Employees,Male,Married,37933,22208,58.55%
ATQCUS0194,25-34,Mumbai,Salaried Other Employees,Male,Married,38934,22926,58.88%
ATQCUS0195,25-34,Mumbai,Salaried Other Employees,Male,Married,39152,22745,58.09%
ATQCUS0196,25-34,Mumbai,Salaried Other Employees,Male,Married,38516,22329,57.97%
ATQCUS0197,25-34,Mumbai,Salaried Other Employees,Male,Married,37926,22000,58.01%
ATQCUS0198,25-34,Mumbai,Salaried Other Employees,Male,Married,38478,20989,54.55%
ATQCUS0199,25-34,Mumbai,Salaried Other Employees,Male,Married,37896,21225,56.01%
ATQCUS0200,25-34,Mumbai,Salaried Other Employees,Male,Married,36218,20624,56.94%
ATQCUS0201,25-34,Mumbai,Salaried Other Employees,Male,Married,38398,20959,54.58%
ATQCUS0202,25-34,Mumbai,Salaried Other Employees,Male,Married,39954,20847,52.18%
ATQCUS0203,25-34,Mumbai,Salaried Other Employees,Male,Married,38243,21301,55.70%
ATQCUS0204,25-34,Mumbai,Salaried Other Employees,Male,Married,40003,22549,56.37%
ATQCUS0205,25-34,Mumbai,Salaried Other Employees,Male,Married,38976,21724,55.74%
ATQCUS0206,25-34,Mumbai,Salaried Other Employees,Male,Married,40071,22665,56.56%
ATQCUS0207,25-34,Mumbai,Salaried Other Employees,Male,Married,40389,21999,54.47%
ATQCUS0208,25-34,Mumbai,Salaried Other Employees,Male,Married,38959,23334,59.89%
ATQCUS0209,25-34,Mumbai,Salaried Other Employees,Male,Married,38835,21922,56.45%
ATQCUS0210,25-34,Mumbai,Salaried Other Employees,Male,Married,37463,21625,57.72%
ATQCUS0211,25-34,Mumbai,Business Owners,Male,Married,69245,30620,44.22%
ATQCUS0212,25-34,Mumbai,Business Owners,Male,Married,69085,32543,47.11%
ATQCUS0213,25-34,Mumbai,Business Owners,Male,Married,66382,29404,44.30%
ATQCUS0214,25-34,Mumbai,Business Owners,Male,Married,70656,32079,45.40%
ATQCUS0215,25-34,Mumbai,Business Owners,Male,Married,69308,29267,42.23%
ATQCUS0216,25-34,Mumbai,Business Owners,Male,Married,72391,29551,40.82%
ATQCUS0217,25-34,Mumbai,Business Owners,Male,Married,68539,29902,43.63%
ATQCUS0218,25-34,Mumbai,Business Owners,Male,Married,65942,27080,41.07%
ATQCUS0219,25-34,Mumbai,Business Owners,Male,Married,70026,32802,46.84%
ATQCUS0220,25-34,Mumbai,Business Owners,Male,Married,71685,32091,44.77%
ATQCUS0221,25-34,Mumbai,Business Owners,Male,Married,66559,28754,43.20%
ATQCUS0222,25-34,Mumbai,Business Owners,Male,Married,67978,28173,41.44%
ATQCUS0223,25-34,Mumbai,Business Owners,Male,Married,67394,29626,43.96%
ATQCUS0224,25-34,Mumbai,Business Owners,Male,Married,64166,25898,40.36%
ATQCUS0225,25-34,Mumbai,Business Owners,Male,Married,69472,31879,45.89%
ATQCUS0226,25-34,Mumbai,Business Owners,Male,Married,69911,30180,43.17%
ATQCUS0227,25-34,Mumbai,Business Owners,Male,Married,66957,28785,42.99%
ATQCUS0228,25-34,Mumbai,Business Owners,Male,Married,70963,28938,40.78%
ATQCUS0229,25-34,Mumbai,Business Owners,Male,Married,72185,31930,44.23%
ATQCUS0230,25-34,Mumbai,Business Owners,Male,Married,64735,29475,45.53%
ATQCUS0231,25-34,Mumbai,Business Owners,Male,Married,67717,30327,44.78%
ATQCUS0232,25-34,Mumbai,Business Owners,Male,Married,68463,30110,43.98%
ATQCUS0233,25-34,Mumbai,Business Owners,Male,Married,70146,28304,40.35%
ATQCUS0234,25-34,Mumbai,Business Owners,Male,Married,69878,31307,44.80%
ATQCUS0235,25-34,Mumbai,Business Owners,Male,Married,69783,31695,45.42%
ATQCUS0236,25-34,Mumbai,Business Owners,Male,Married,66405,29968,45.13%
ATQCUS0237,25-34,Mumbai,Business Owners,Male,Married,66016,26574,40.25%
ATQCUS0238,25-34,Mumbai,Business Owners,Male,Married,71743,31340,43.68%
ATQCUS0239,25-34,Mumbai,Business Owners,Male,Married,66411,25737,38.75%
ATQCUS0240,25-34,Mumbai,Business Owners,Male,Married,72909,32458,44.52%
ATQCUS0241,25-34,Mumbai,Business Owners,Male,Married,63897,27564,43.14%
ATQCUS0242,25-34,Mumbai,Business Owners,Male,Married,71754,32727,45.61%
ATQCUS0243,25-34,Mumbai,Business Owners,Male,Married,69083,33864,49.02%
ATQCUS0244,25-34,Mumbai,Business Owners,Male,Married,67935,28928,42.58%
ATQCUS0245,25-34,Mumbai,Business Owners,Male,Married,66297,28534,43.04%
ATQCUS0246,25-34,Mumbai,Business Owners,Male,Married,68313,28716,42.04%
ATQCUS0247,25-34,Mumbai,Business Owners,Male,Married,70018,31657,45.21%
ATQCUS0248,25-34,Mumbai,Business Owners,Male,Married,68409,32987,48.22%
ATQCUS0249,25-34,Mumbai,Business Owners,Male,Married,66987,27356,40.84%
ATQCUS0250,25-34,Mumbai,Business Owners,Male,Married,66268,29483,44.49%
ATQCUS0251,25-34,Mumbai,Business Owners,Male,Married,73155,33930,46.38%
ATQCUS0252,25-34,Mumbai,Freelancers,Male,Married,34995,19862,56.76%
ATQCUS0253,25-34,Mumbai,Freelancers,Male,Married,35693,19873,55.68%
ATQCUS0254,25-34,Mumbai,Freelancers,Male,Married,36047,22099,61.30%
ATQCUS0255,25-34,Mumbai,Freelancers,Male,Married,33554,19726,58.79%
ATQCUS0256,25-34,Mumbai,Freelancers,Male,Married,33828,21829,64.53%
ATQCUS0257,25-34,Mumbai,Freelancers,Male,Married,36077,21916,60.75%
ATQCUS0258,25-34,Mumbai,Freelancers,Male,Married,33743,19959,59.15%
ATQCUS0259,25-34,Mumbai,Freelancers,Male,Married,33036,18208,55.12%
ATQCUS0260,25-34,Mumbai,Freelancers,Male,Married,35754,21447,59.98%
ATQCUS0261,25-34,Mumbai,Freelancers,Male,Married,33357,20011,59.99%
ATQCUS0262,25-34,Mumbai,Freelancers,Male,Married,35495,21368,60.20%
ATQCUS0263,25-34,Mumbai,Freelancers,Male,Married,33837,19149,56.59%
ATQCUS0264,25-34,Mumbai,Freelancers,Male,Married,32828,19796,60.30%
ATQCUS0265,25-34,Mumbai,Freelancers,Male,Married,35056,23423,66.82%
ATQCUS0266,25-34,Mumbai,Freelancers,Male,Married,34743,21212,61.05%
ATQCUS0267,25-34,Mumbai,Freelancers,Male,Married,34485,19842,57.54%
ATQCUS0268,25-34,Mumbai,Freelancers,Male,Married,37327,20659,55.34%
ATQCUS0269,25-34,Mumbai,Freelancers,Male,Married,33216,20467,61.62%
ATQCUS0270,25-34,Mumbai,Freelancers,Male,Married,33589,18341,54.60%
ATQCUS0271,25-34,Mumbai,Freelancers,Male,Married,35038,21440,61.19%
ATQCUS0272,25-34,Mumbai,Freelancers,Male,Married,35035,22565,64.41%
ATQCUS0273,25-34,Mumbai,Freelancers,Male,Married,36231,20139,55.59%
ATQCUS0274,25-34,Mumbai,Freelancers,Male,Married,36760,19545,53.17%
ATQCUS0275,25-34,Mumbai,Freelancers,Male,Married,35963,22379,62.23%
ATQCUS0276,25-34,Mumbai,Freelancers,Male,Married,36398,19795,54.39%
ATQCUS0277,25-34,Mumbai,Freelancers,Male,Married,35677,20576,57.67%
ATQCUS0278,25-34,Mumbai,Freelancers,Male,Married,35667,21878,61.34%
ATQCUS0279,25-34,Mumbai,Freelancers,Male,Married,34036,20754,60.98%
ATQCUS0280,25-34,Mumbai,Freelancers,Male,Married,35779,20121,56.24%
ATQCUS0281,25-34,Mumbai,Freelancers,Male,Married,34861,20725,59.45%
ATQCUS0282,25-34,Mumbai,Freelancers,Male,Married,34971,20845,59.61%
ATQCUS0283,25-34,Mumbai,Freelancers,Male,Married,34638,19805,57.18%
ATQCUS0284,25-34,Mumbai,Freelancers,Male,Married,32179,18359,57.05%
ATQCUS0285,25-34,Mumbai,Freelancers,Male,Married,33368,18940,56.76%
ATQCUS0286,25-34,Mumbai,Freelancers,Male,Married,34054,20676,60.71%
ATQCUS0287,25-34,Mumbai,Freelancers,Male,Married,35321,22901,64.84%
ATQCUS0288,25-34,Mumbai,Freelancers,Male,Married,36196,20408,56.38%
ATQCUS0289,25-34,Mumbai,Freelancers,Male,Married,33339,21769,65.30%
ATQCUS0290,25-34,Mumbai,Freelancers,Male,Married,36459,21500,58.97%
ATQCUS0291,25-34,Mumbai,Freelancers,Male,Married,35123,21690,61.75%
ATQCUS0292,25-34,Mumbai,Freelancers,Male,Married,34571,20516,59.34%
ATQCUS0293,25-34,Mumbai,Government Employees,Male,Married,51270,20984,40.93%
ATQCUS0294,25-34,Mumbai,Government Employees,Male,Married,54343,21464,39.50%
ATQCUS0295,25-34,Mumbai,Government Employees,Male,Married,51565,19554,37.92%
ATQCUS0296,25-34,Mumbai,Government Employees,Male,Married,49679,20343,40.95%
ATQCUS0297,25-34,Mumbai,Government Employees,Male,Married,52726,21857,41.45%
ATQCUS0298,25-34,Mumbai,Government Employees,Male,Married,52490,20640,39.32%
ATQCUS0299,25-34,Mumbai,Government Employees,Male,Married,51216,19205,37.50%
ATQCUS0300,25-34,Mumbai,Government Employees,Male,Married,54122,20654,38.16%
ATQCUS0301,25-34,Mumbai,Government Employees,Male,Married,51844,21872,42.19%
ATQCUS0302,25-34,Mumbai,Government Employees,Male,Married,52954,21154,39.95%
ATQCUS0303,25-34,Mumbai,Government Employees,Male,Married,52765,20451,38.76%
ATQCUS0304,25-34,Mumbai,Government Employees,Male,Married,52111,23225,44.57%
ATQCUS0305,25-34,Mumbai,Government Employees,Male,Married,50285,19542,38.86%
ATQCUS0306,25-34,Mumbai,Government Employees,Male,Married,52422,20932,39.93%
ATQCUS0307,25-34,Mumbai,Government Employees,Male,Married,52951,21670,40.92%
ATQCUS0308,25-34,Mumbai,Government Employees,Male,Married,55029,21872,39.75%
ATQCUS0309,25-34,Mumbai,Government Employees,Male,Married,54479,22342,41.01%
ATQCUS0310,25-34,Mumbai,Government Employees,Male,Married,50234,20213,40.24%
ATQCUS0311,25-34,Mumbai,Government Employees,Male,Married,51260,20222,39.45%
ATQCUS0312,25-34,Mumbai,Government Employees,Male,Married,51309,20955,40.84%
ATQCUS0313,25-34,Mumbai,Government Employees,Male,Married,53804,21282,39.55%
ATQCUS0314,25-34,Mumbai,Government Employees,Male,Married,50583,18890,37.34%
ATQCUS0315,25-34,Mumbai,Government Employees,Male,Married,55035,21315,38.73%
